,time,open,high,low,close,volume
275,2025-02-13,67.08,67.47,66.58,66.98,520505
276,2025-02-14,66.98,67.27,66.48,66.58,617785
277,2025-02-17,66.48,66.88,65.79,65.79,499798
278,2025-02-18,65.69,66.68,65.69,66.58,445520
279,2025-02-19,66.78,71.22,66.58,71.22,3066720
280,2025-02-20,72.5,72.5,71.12,71.12,799005
281,2025-02-21,71.12,71.81,69.94,71.02,1309705
282,2025-02-24,70.82,74.97,70.43,73.98,2335081
283,2025-02-25,73.98,74.28,72.89,73.29,799075
284,2025-02-26,73.29,73.98,72.3,72.6,1091093
285,2025-02-27,73.0,74.7,72.5,74.0,837089
286,2025-02-28,74.0,74.2,72.0,72.4,1058788
287,2025-03-03,72.9,72.9,71.9,72.6,754001
288,2025-03-04,72.0,73.6,71.6,73.1,1102229
289,2025-03-05,73.2,74.4,72.3,73.1,818652
290,2025-03-06,73.5,74.8,73.1,73.7,726275
291,2025-03-07,73.9,73.9,73.0,73.3,558584
292,2025-03-10,73.6,75.7,72.7,75.0,1791200
293,2025-03-11,73.8,74.9,73.8,74.6,698079
294,2025-03-12,74.6,75.0,73.6,73.8,557900
295,2025-03-13,74.2,74.2,72.1,72.2,1058800
296,2025-03-14,72.0,72.5,70.6,70.9,1005000
297,2025-03-17,70.9,71.9,70.4,70.8,673600
298,2025-03-18,70.5,72.1,70.5,71.3,477700
299,2025-03-19,71.0,71.3,69.6,70.1,863300
